OBS,GEV,MEVD
0.48053782,0.508987215,0.471875
0.557367492,0.539828012,0.496875
0.573638872,0.560347798,0.5140625
0.576997854,0.576308085,0.527734375
0.58489883,0.589640315,0.5390625
0.587213988,0.601246024,0.54921875
0.597123943,0.61162423,0.558203125
0.631143724,0.621082178,0.566308594
0.640989069,0.629823465,0.574023438
0.643059181,0.637990493,0.581152344
0.655883377,0.645687084,0.587890625
0.658792228,0.652991468,0.594335938
0.664795815,0.659964199,0.600488281
0.670905121,0.666653212,0.606494141
0.675639589,0.673097176,0.612304688
0.682873187,0.679327803,0.617773438
0.683135867,0.68537147,0.623242188
0.685305914,0.691250397,0.628466797
0.694432731,0.696983515,0.633691406
0.697021312,0.702587113,0.638671875
0.698284901,0.708075342,0.643701172
0.709349135,0.713460596,0.648535156
0.713859694,0.71875382,0.653417969
0.713936714,0.723964748,0.658203125
0.715762027,0.729102099,0.662841797
0.71741454,0.734173733,0.667529297
0.726146126,0.739186781,0.672143555
0.726832305,0.744147751,0.676660156
0.738949441,0.749062621,0.68125
0.740414364,0.753936906,0.685791016
0.742391169,0.758775729,0.690283203
0.757934927,0.763583874,0.694726563
0.759503793,0.768365827,0.69921875
0.761948036,0.773125823,0.703710938
0.764593594,0.77786788,0.708105469
0.764669579,0.782595824,0.712548828
0.771912213,0.787313326,0.717016602
0.773335502,0.79202392,0.721435547
0.778062251,0.796731025,0.725927734
0.778493063,0.80143797,0.730395508
0.780359616,0.806148007,0.734863281
0.799715512,0.810864334,0.739379883
0.831785174,0.815590103,0.743896484
0.83190068,0.820328445,0.7484375
0.841996823,0.825082476,0.752978516
0.84363098,0.829855317,0.757617188
0.861924053,0.834650105,0.762207031
0.862807624,0.839470009,0.766796875
0.862864094,0.844318239,0.771606445
0.863719441,0.849198068,0.776342773
0.866001866,0.854112839,0.781152344
0.86625591,0.859065985,0.7859375
0.87970125,0.864061041,0.790893555
0.884047227,0.869101665,0.795849609
0.884751456,0.874191652,0.800830078
0.889935598,0.879334954,0.805932617
0.890185951,0.884535701,0.811096191
0.895541652,0.889798225,0.816308594
0.904378631,0.895127082,0.821630859
0.908176365,0.900527082,0.827026367
0.909478748,0.906003315,0.832519531
0.916170882,0.91156119,0.838085938
0.921987027,0.91720647,0.843786621
0.930023927,0.922945314,0.849584961
0.931419541,0.928784326,0.855505371
0.937590697,0.934730609,0.861523438
0.938495911,0.940791831,0.867724609
0.939682253,0.946976289,0.874047852
0.941934601,0.953293002,0.880566406
0.950546967,0.959751798,0.887207031
0.982925607,0.96636343,0.894018555
0.983049418,0.973139705,0.901062012
0.989128653,0.980093643,0.908300781
0.991571689,0.987239651,0.915771484
0.99811311,0.99459375,0.923474121
1.004733618,1.002173829,0.93145752
1.034703711,1.009999968,0.939727783
1.039814026,1.01809482,0.94831543
1.043728781,1.026484084,0.957263184
1.045128895,1.0351971,0.966592407
1.04576208,1.044267577,0.97635498
1.054358468,1.053734536,0.986592102
1.075438746,1.063643503,0.997362518
1.078392607,1.074048066,1.008734131
1.08807766,1.085011929,1.020788574
1.09635898,1.096611662,1.033618164
1.115652372,1.108940462,1.047338867
1.12647428,1.122113397,1.062109375
1.130280143,1.136274912,1.078125
1.133356529,1.151609858,1.095581055
1.143141533,1.168360286,1.11484375
1.161656942,1.186852003,1.136328125
1.189674717,1.207538703,1.160644531
1.220234067,1.231079784,1.188671875
1.227339867,1.258488587,1.221777344
1.301677319,1.291445203,1.262304688
1.333636892,1.333059232,1.314941406
1.377639952,1.390195498,1.389453125
1.722248748,1.484207021,1.51875
